# 모델이 옮기지 못한 낱말의 한국어 뜻.
#
# 대상 2만 개 중 879개는 몇 번을 물어도 뜻이 돌아오지 않는다. 이유는 두 갈래다.
#
# **① 가드레일**(594개) — 죽음·폭력·신체를 다루는 말이 `guardrailViolation` 으로 막힌다.
# 애니 자막에는 그것이 흔하다. 死ぬ·殺す·狙う·馬鹿 는 빈도 최상위권이고,
# 島(섬)·太い(굵다)처럼 왜 걸리는지 알 수 없는 것도 섞여 있다
# (JMdict 의 둘째 뜻이 은어인 탓이다).
#
# **② 그 밖**(297개) — 犬·猫·茶 같은 기본 낱말이 `unsupportedLanguageOrLocale` 로
# 돌아온다. 오래 돌린 프로세스에서 생기는 증상인 줄 알고 교대로 다시 물었지만
# (`translate-in-shifts.sh`), 이것들은 갓 띄운 프로세스에서도 그대로다.
# 마지막으로 297개만 따로 돌렸을 때 **한 건도 성공하지 못했다.**
#
# **프롬프트로 우회해 봤지만 쓸 수 없었다.** 일본어 표기를 빼거나 영어 뜻을
# 첫 하나로 줄이면 27개 중 14개가 뚫리는데, 그렇게 받은 것의 절반이 틀렸다
# (胸 → "몸의 중심부", 甘える → "기분 나쁜 사람처럼 행동하다", 刺す → "도끼로 칼집을 내다").
# 짧고 틀린 것은 `KoreanGloss.tidy` 가 걸러낼 방법이 없다. 그래서 손으로 적는다.
#
# 기능어 표와 같은 규칙이다 — 확신이 서지 않는 것은 넣지 않는다(13개를 뺐다).
# 빈 채로 두면 영어가 남을 뿐이지만, 틀린 한국어는 사용자가 믿는다.
死ぬ	しぬ	죽다
殺す	ころす	죽이다
胸	むね	가슴
嫌	いや	싫다
襲う	おそう	덮치다, 습격하다
狙う	ねらう	노리다
嫌い	きらい	싫어함
息子	むすこ	아들
亡くなる	なくなる	돌아가시다
奴	やつ	녀석
放つ	はなつ	쏘다, 발하다
肌	はだ	피부
馬鹿	ばか	바보
島	しま	섬
吐く	はく	토하다, 뱉다
傷つける	きずつける	상처 입히다
込める	こめる	담다
潰す	つぶす	부수다, 뭉개다
甘える	あまえる	응석부리다
刺す	さす	찌르다
性	せい	성질, 성
突く	つく	찌르다
太い	ふとい	굵다
浴びる	あびる	뒤집어쓰다, 받다
乱暴	らんぼう	난폭, 폭력
汚れる	よごれる	더러워지다
犠牲	ぎせい	희생
汚い	きたない	더럽다
憎む	にくむ	미워하다
皮	かわ	껍질, 가죽
死体	したい	시체
舐める	なめる	핥다
矢	や	화살
斬る	きる	베다
奴ら	やつら	녀석들
吐き出す	はきだす	뱉어내다
被害者	ひがいしゃ	피해자
お尻	おしり	엉덩이
襲撃	しゅうげき	습격
胸元	むなもと	가슴팍
裸	はだか	알몸
懐	ふところ	품
叩きつける	たたきつける	내던지다
自殺	じさつ	자살
奴隷	どれい	노예
俯く	うつむく	고개 숙이다
尻	しり	엉덩이
暴力	ぼうりょく	폭력
呪う	のろう	저주하다
突きつける	つきつける	들이대다
臭い	くさい	냄새나다
爆弾	ばくだん	폭탄
振り下ろす	ふりおろす	내리치다
生意気	なまいき	건방지다
殺人	さつじん	살인
刺さる	ささる	박히다
不利	ふり	불리
絶える	たえる	끊기다
